hello	salom
hi	salom
how are you?	qalaysiz?
hello, how are you?	salom, qalaysiz?
good morning	xayrli tong
good night	xayrli tun
good evening	xayrli kech
thank you	rahmat
thanks	rahmat
thanks a lot	katta rahmat
yes	ha
no	yo'q
please	iltimos
sorry	kechirasiz
excuse me	kechirasiz
goodbye	xayr
bye	xayr
see you	ko'rishguncha
see you later	keyinroq ko'rishguncha
welcome	xush kelibsiz
what is your name?	ismingiz nima?
my name is john	mening ismim john
nice to meet you	tanishganimdan xursandman
where are you from?	qayerdansiz?
i am from london	men londondanman
i love you	men seni sevaman
i miss you	men seni sog'indim
i am hungry	men ochman
i am thirsty	men chanqadim
i am tired	men charchaganman
i am happy	men baxtliman
i am sad	men hafaman
how old are you?	necha yoshdasiz?
i am twenty years old	men yigirma yoshdaman
what time is it?	soat nech?
it is three o'clock	soat uch
today is monday	bugun dushanba
tomorrow is tuesday	ertaga seshanba
yesterday was sunday	kecha yakshanba edi
the weather is nice	ob-havo yaxshi
it is raining	yomg'ir yog'yapti
it is cold	sovuq
it is hot	issiq
where is the bathroom?	hojatxona qayerda?
how much does it cost?	bu qancha turadi?
i want water	men suv istayman
i want food	men ovqat istayman
i want tea	men choy istayman
i want coffee	men kofe istayman
do you speak english?	siz inglizcha gapirasizmi?
i don't understand	men tushunmayapman
speak slowly please	iltimos sekin gapiring
can you help me?	menga yordam bera olasizmi?
i need a doctor	menga shifokor kerak
call the police	politsiyani chaqiring
fire!	yong'in!
where is the hotel?	mehmonxona qayerda?
where is the airport?	aeroport qayerda?
how do i get there?	u yerga qanday boraman?
turn left	chapga buriling
turn right	o'ngga buriling
go straight	to'g'riga yuring
stop	to'xtang
come here	bu yerga keling
go away	keting
wait a moment	bir daqiqa kuting
i am sorry	kechirasiz
no problem	muammo yo'q
that's right	to'g'ri
that's wrong	noto'g'ri
i think so	men shunday o'ylayman
i don't know	men bilmayman
i know	men bilaman
i remember	men eslayman
i forgot	men unutdim
i am ready	men tayyorman
let's go	ketdik
hurry up	tezroq
slow down	sekinroq
be careful	ehtiyot bo'ling
have a good day	yaxshi kun bo'lsin
have a nice trip	yaxshi sayohat
happy birthday	tug'ilgan kuning bilan
congratulations	tabriklayman
good luck	omad
get well soon	tezroq tuzaling
i love this song	men bu qo'shiqni yaxshi ko'raman
i love this city	men bu shaharni yaxshi ko'raman
this is delicious	bu juda mazali
this is beautiful	bu juda chiroyli
this is interesting	bu qiziqarli
this is boring	bu zerikarli
i am learning uzbek	men o'zbek tilini o'rganmoqdaman
uzbek is a beautiful language	o'zbek tili go'zal til
i want to learn more	men ko'proq o'rganmoqchiman
practice makes perfect	mashq qilish mukammallikka olib keladi
